"enjoyment","asses","fairprice","comments","anon_id"
"2","Yes","1","I don't have anything to add at the moment. Good luck with the experiment.",25
"2","Yes","1","Thanks, was a good HIT.",4
"1","Yes","1","",44
"1","Yes","1","",44
"1","Yes","1","",44
"1","Yes","1","",44
"1","Yes","1","",47
"1","Yes","1","",26
"1","Confused","1","I read the FAQ, but some of these are still not clear",26
"1","Yes","1","",26
"1","Yes","1","",26
"1","Yes","1","",26
"1","Yes","1","",26
"1","Yes","1","",26
"2","Yes","1","Thank you!",46
"1","Yes","1","Thank You, these do take a bit longer than 7 minutes to do though if someone takes the time to read each one properly.",5
"1","Yes","1","n/a",35
"2","Yes","1","thank you!",36
"2","Yes","1","thanks so much!",36
"2","Yes","1","thanks so much!",36
"2","Yes","1","thanks so much!",36
"2","Yes","1","thanks again!",36
"2","Yes","1","thank you!",36
"2","No","1","thanks so much!",36
"2","Yes","1","everything was great thanks so much",36
"2","Yes","1","it was fun thanks so much",36
"2","Yes","1","thanks again!",36
"1","Yes","1","",45
"2","Yes","1","",34
"2","Yes","1","",34
"2","Yes","1","",34
"2","Yes","1","",34
"2","Yes","1","",34
